group,car,name
Group 2,0,the esky v1
Group 2,1,the meanie
Group 2,2,la montaine
Group 2,3,das 220
Group 2,4,das 119i
Group 2,5,le gorde
Group 2,6,la regina
Group 3,0,the esky v2
Group 3,1,il nonno 313
Group 3,2,the rotary 3
Group 3,3,la wedge
Group 3,4,il cavallo 803
Group 3,5,das 119e
Group 3,6,la hepta
Group 3,7,the pebble v1
Group 3,8,the pebble v2
Group 3,9,the zetto
Group 4,0,le cinq
Group 4,1,das whip
Group 4,2,turbo brick
Group 4,3,das uberwhip
Group 4,4,the cozzie sr5
Group 4,5,the original
Group 4,6,la super montaine
Group 4,7,la longna
Group 4,8,the gazelle
Group B,0,the 4r6
Group B,1,le 502
Group B,2,das hammer v1
Group B,3,das hammer v2
Group B,4,il gorilla 4s 
Group B,5,the cozzie sr2
Group B,6,the cozzie sr71 
Group B,7,the rotary b7 
Group B,8,das hammer v3
Group B,9,il monster
Group B,10,il cavallo 882
Group B,11,le cinq b 
Group B,12,das uberspeedvan
Group B,13,the king of africa
Group B,14,das 559
Group B,15,the hyena
Group S,0,das eibenhammer
Group S,1,the rotary s7
Group S,2,the umibozu
Group S,3,il gorilla e1
Group S,4,le 504
Group S,5,il gorilla e2
Group S,6,das superbaus
Group S,7,the t22
Group A,0,il gorillona
Group A,1,the fujin
Group A,2,the liftback
Group A,3,the max attack
Group A,4,the cozzie 90
Bonus_Vans,0,das speedvan
Bonus_Vans,1,das hi-speedvan
Bonus_Vans,2,das cube van
Bonus_Vans,3,funselektor's van
Bonus_Monkey,0,little monkey
Bonus_Dakar,0,dakar truck
Bonus_Logging,0,log transporter
